ShipmentID,OrderID,Order#,SKU,ItemDescription,UnitPrice,Quantity,ExtendedPrice,ShipDate,StoreName,Carrier,Provider,Service,Tracking#,Warehouse
"153870906","284542252","862914","17612","OraCare Health Rinse (Case of 8)","254.00","5","1270.00","5/8/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","381165131920","Axiom"
"153870920","284524705","862913","17612","FREE CASE- OraCare Health Rinse","0.00","1","0.00","5/8/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","381165136554","Axiom"
"153870914","284524665","862913","17612","OraCare Health Rinse (Case of 8)","254.00","5","1270.00","5/8/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","381165133897","Axiom"
"153870893","284524658","862912","17612","OraCare Health Rinse (Case of 8)","254.00","1","254.00","5/8/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","381165132732","Axiom"
"153870954","284503872","862909","17612","FREE CASE- OraCare Health Rinse","0.00","1","0.00","5/8/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","381165146533","Axiom"
"151614659","280654418","862548","17612","OraCare Health Rinse (Case of 8)","0.00","3","0.00","4/23/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","380755275781","Axiom"
"151614657","280508608","862547","17612","OraCare Health Rinse (Case of 8)","254.00","1","254.00","4/23/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","380755276480","Axiom"
"153870912","284489134","862906","17612","OraCare Health Rinse (Case of 8)","254.00","1","254.00","5/8/2026","BigCommerce - Oracare","FedEx","FedEx","Ground Hm","381165133073","Axiom"
"153870910","284460004","862904","17612","FREE CASE- OraCare Health Rinse","0.00","1","0.00","5/8/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","381165135179","Axiom"
"151614653","280508597","862546","17612","OraCare Health Rinse (Case of 8)","228.60","1","228.60","4/23/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","380755274112","Axiom"
"151614640","280451425","862539","17612","FREE CASE- OraCare Health Rinse","0.00","1","0.00","4/23/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","380755273594","Axiom"
"151614695","280416366","862534","17612","OraCare Health Rinse (Case of 8)","254.00","2","508.00","4/23/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","380755279272","Axiom"
"151614671","280416364","862535","17612","OraCare Health Rinse (Case of 8)","254.00","9","2286.00","4/23/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","380755272874","Axiom"
"151614627","280416363","862535","17612","OraCare Health Rinse (Case of 8)","0.00","1","0.00","4/23/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","380755270838","Axiom"
"151447429","280378800","862525","17612","OraCare Health Rinse (Case of 8)","254.00","1","254.00","4/22/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","380722758482","Axiom"
"151447420","280378798","862527","17612","OraCare Health Rinse (Case of 8)","254.00","2","508.00","4/22/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","380722755233","Axiom"
"151447412","280357295","862517","17612","OraCare Health Rinse (Case of 8)","254.00","5","1270.00","4/22/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","380722752304","Axiom"
"153703771","284457719","862904","17612","OraCare Health Rinse (Case of 8)","254.00","5","1270.00","5/7/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","381134258449","Axiom"
"151447386","280357293","862517","17612","OraCare Health Rinse (Case of 8)","0.00","1","0.00","4/22/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","380722752370","Axiom"
"151447377","280357292","862516","17612","OraCare Health Rinse (Case of 8)","254.00","2","508.00","4/22/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","380722749640","Axiom"
"151447419","280344765","862514","17612","OraCare Health Rinse (Case of 8)","228.60","2","457.20","4/22/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","380722755531","Axiom"
"151447540","280289961","862512","17612","OraCare Health Rinse (Case of 8)","254.00","12","3048.00","4/22/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","380722769402","Axiom"
"153703416","284400407","862893","17612","OraCare Health Rinse (Case of 8)","254.00","5","1270.00","5/7/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","381134229718","Axiom"
"151447482","280289960","862512","17612","OraCare Health Rinse (Case of 8)","0.00","3","0.00","4/22/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","380722768049","Axiom"
"153703736","284377695","862890","17612","OraCare Health Rinse (Case of 8)","254.00","1","254.00","5/7/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","381134256365","Axiom"
"153703732","284377694","862889","17612","OraCare Health Rinse (Case of 8)","254.00","5","1270.00","5/7/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","381134253182","Axiom"
"153703693","284361290","862887","17612","OraCare Health Rinse (Case of 8)","254.00","1","254.00","5/7/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","381134252771","Axiom"
"153703655","284199249","862883","17612","FREE CASE- OraCare Health Rinse","0.00","1","0.00","5/7/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","381134246445","Axiom"
"153703626","284198975","862881","17612","FREE CASE- OraCare Health Rinse","0.00","1","0.00","5/7/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","381134247496","Axiom"
"151447387","280227528","862508","17612","OraCare Health Rinse (Case of 8)","254.00","2","508.00","4/22/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","380722750345","Axiom"
"151447467","280227527","862510","17612","OraCare Health Rinse (Case of 8)","254.00","12","3048.00","4/22/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","380722758600","Axiom"
"151447426","280227526","862510","17612","OraCare Health Rinse (Case of 8)","0.00","3","0.00","4/22/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","380722757247","Axiom"
"151447396","280209905","862504","17612","OraCare Health Rinse (Case of 8)","0.00","2","0.00","4/22/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","380722753414","Axiom"
"153703444","284198877","862880","17612","OraCare Health Rinse (Case of 8)","254.00","2","508.00","5/7/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","381134233044","Axiom"
"153703400","284198873","862879","17612","OraCare Health Rinse (Case of 8)","254.00","1","254.00","5/7/2026","BigCommerce - Oracare","FedEx","FedEx","Ground Hm","381134232070","Axiom"
"153703384","284179759","862856","17612","FREE CASE- OraCare Health Rinse","0.00","1","0.00","5/7/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","381134231924","Axiom"
